,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
10348,Chad Daniels,Accidentally Funny,6ru2srYGK72JnXSHTCoPtI,25,2012,comedy,0.476,0.8,7,-8.508,1,0.953,0.553,0.0,0.724,0.469,72.919,184343,3
10349,Matt Braunger,A Dream Inside a Dream,7uZyTIcGYVu9kqbCtGFvJY,24,2012,comedy,0.674,0.763,1,-5.794,1,0.74,0.75,0.0,0.668,0.673,87.435,71395,4
10350,Hannibal Buress,Bomb Water,2M0jbTgwJEaggHwKTtIsia,24,2012,comedy,0.547,0.742,10,-8.13,1,0.959,0.869,0.0,0.578,0.47,64.627,313093,4
10351,Bret Ernst,Demasculinizing America,7wjc6S6CWQe8WVaGiMi6qA,25,2012,comedy,0.588,0.48,4,-13.54,1,0.883,0.857,0.0,0.828,0.692,110.97,74160,4
10352,Paul F. Tompkins,Been Caught Stealing,0K0EoV1WiDkzh3535sdVvs,24,2012,comedy,0.589,0.401,2,-15.825,1,0.95,0.839,0.0,0.728,0.393,77.971,482747,4
10353,Hannibal Buress,5am in the Morning,6xeYpULzLFBJ3R9iH9OnIv,24,2012,comedy,0.578,0.743,0,-7.981,1,0.959,0.852,0.0,0.539,0.497,59.718,282387,4
10354,Hannibal Buress,Vomit,3aRnx3qTek9ax0qfY0rI3o,24,2012,comedy,0.623,0.802,9,-8.223,1,0.946,0.87,0.0,0.64,0.441,123.635,363093,3
10355,Professor Elemental,I'm British,6a2MMhyy5LqoDfap5OFz6K,30,2012,comedy,0.77,0.885,3,-3.977,0,0.311,0.195,0.0,0.127,0.533,92.084,178496,4
10356,Hannibal Buress,Moustache Time,4UJJzGXSpJ6xQfSdKFLyfH,24,2012,comedy,0.53,0.752,9,-7.997,1,0.956,0.8,0.0,0.682,0.446,66.757,240600,5
10357,Amy Schumer,Cockblock,2ofn9Hi3Mp6utSYnPxxfyH,24,2012,comedy,0.547,0.829,9,-7.129,1,0.932,0.71,0.0,0.821,0.463,126.202,256168,3
10358,Hannibal Buress,Jaywalking,0MW3DnzsDM2Iqr9R2qCbhz,23,2012,comedy,0.591,0.673,9,-8.587,0,0.954,0.843,0.0,0.617,0.578,85.334,460200,4
10359,George Lopez,Intervention,5voGNShiRX6F8zIJp5Kgsu,23,2012,comedy,0.464,0.951,9,-8.125,1,0.906,0.876,0.0,0.875,0.167,114.51,81640,3
10360,George Lopez,Racist Grandmother,7eHskgwInUAhzR7lQ3p3G0,23,2012,comedy,0.515,0.99,7,-6.251,1,0.921,0.906,5.19e-06,0.966,0.0382,129.78,93013,3
